,value
0,79367502
1,79763707
2,79763707
3,79764260
4,79886075
5,79525068
6,79986319
7,79886827
8,79901952
9,79901952
10,79887311
11,79661077
12,79647220
13,79766543
14,79681824
15,79959689
16,79903761
17,79782404
18,79767781
19,79768010
20,79768263
21,79768894
22,79664295
23,80267729
24,80182393
25,80182393
26,80282989
27,79756233
28,79871481
29,79856548
30,79785849
31,79856966
32,79856966
33,79686325
34,79857391
35,79772134
36,79589405
37,79569049
38,80043542
39,79994404
40,79884653
41,79670247
42,79284297
43,79056420
44,78993461
45,77710181
46,75883570
47,76341515
48,80321031
49,80762407
50,81563948
51,82846464
52,80056354
53,79865585
54,79571136
55,77374525
56,77348862
57,77565691
58,82457348
59,77488235
60,84674385
61,80201959
62,76271165
63,75628523
64,76807388
65,78067722
66,78321240
67,76019027
68,76406169
69,80483807
70,77278443
71,76624416
72,75138331
73,74957838
74,73264233
75,73217057
76,71372907
77,71414167
78,71388755
79,71308273
80,71307453
81,71273231
82,71284153
83,71370283
84,71624853
85,71565060
86,72220539
87,72255772
88,72179760
89,72167154
90,72009711
91,71778789
92,71631924
93,70682178
94,69724978
95,69318950
96,69275834
97,69105304
98,69167761
99,69424434
100,69441900
101,69874337
102,69910411
103,69982810
104,69910359
105,69982737
106,69683799
107,68777419
108,68227490
109,67682247
110,67963577
111,68087086
112,68374288
113,68394827
114,68644794
115,68673863
116,68722053
117,68678962
118,68579851
119,68573534
120,68512478
121,68523439
122,69338439
123,70126365
124,70245165
125,70220748
126,70053349
127,70053988
128,70069763
129,70139398
130,70176982
131,71001415
132,71184464
133,71291516
134,71695894
135,71888663
136,72266976
137,71913316
138,71883617
139,71736194
140,72462020
141,71916956
142,71865889
143,71916303
144,71932477
145,71902655
146,72071022
147,71908300
148,71620694
149,71124653
150,70308643
151,70143111
152,70128672
153,69969205
154,69972524
155,70102979
156,70044243
157,69888590
158,69983326
159,69957975
160,69962763
161,69985970
162,70001967
163,69778357
164,70000938
165,70025463
166,70061979
167,70389058
168,70751453
169,70836482
170,71007971
171,70941889
172,70973903
173,70661043
174,70746511
175,70914662
176,70948284
177,70905428
178,70796990
179,70783704
180,70895653
181,72031105
182,72371859
183,72576383
184,72417612
185,72417612
186,72297783
187,72297807
188,72331389
189,72210177
190,72318565
191,72404595
192,72562151
193,72561584
194,72409909
195,72440287
196,72460671
197,72642947
198,72653613
199,72666621
200,72634844
201,72604296
202,72541322
203,72579486
204,72578982
205,72840913
206,72851864
207,72778718
208,72747656
209,72716177
210,72300334
211,71730945
212,71711247
213,71567319
214,71533975
215,71540461
216,71538204
217,71497455
218,71415561
219,71514158
220,71339652
221,71106641
222,71184270
223,71154725
224,71150193
225,71036739
226,70995285
227,70790904
228,70804562
229,70795108
230,71041260
231,71062986
232,71062981
233,71113092
234,71114192
235,71117564
236,71096160
237,71044069
238,71191545
239,71136361
240,71137533
241,70949371
242,71343378
243,72390696
244,72996211
245,72971995
246,72966969
247,73100736
248,73229394
249,73392659
250,73392683
251,73404752
252,73504586
253,73438387
254,73741374
255,73741374
256,73695855
257,73623258
258,73592247
259,73753466
260,73646825
261,72657865
262,72344357
263,71663661
264,71178962
265,70634259
266,70174414
267,69804884
268,69563051
269,69556347
270,69023295
271,68840970
272,68310834
273,67931458
274,67528543
275,67025855
276,66324842
277,66037366
278,65914975
279,66685661
280,66402630
281,66736296
282,66558806
283,66705145
284,66676615
285,66759548
286,67460510
287,67688304
288,68064676
289,68275562
290,68459056
291,68457337
292,68407306
293,68412469
294,68405501
295,82885359
296,82544454
297,82752062
298,82696590
299,82782792
300,82665828
301,82665836
302,83029919
303,82848453
304,81573254
305,81314829
306,80992153
307,80336184
308,80184072
309,79271113
310,79116373
311,79182284
312,79262340
313,78946950
314,79181877
315,79182170
316,78963231
317,78959960
318,78766208
319,78797739
320,79246244
321,79249282
322,79105443
323,79137142
324,79137142
325,79281637
326,79583293
327,79517357
328,79500482
329,79503058
330,79756477
331,79759452
332,79759452
333,79733749
334,79785429
335,79254532
336,79290955
337,79424996
338,79427543
339,79645812
340,79599585
341,79636977
342,79786176
343,79704595
344,79442660
